Model,Scaled_MSE,Scaled_RMSE,Original_MSE,Original_RMSE
LSTM,0.010880595777020174,0.10431009431987,81.56961321948647,9.031589739325323
GRU,0.03477770700298159,0.1864878199856001,260.7215061478429,16.146872952613545
